,Topic,Subject,Question,Answer
374,Máquina de Turing,Turing Machine,What is a machine capable of performing any computation?,A Turing machine is a machine that is capable of performing any computation (that a computer is capable of performing this theoretical model).
375,Modelos generativos,Generative models,What is an important part of computer science?,Generative models are an important part of computer science.
376,Variables dummy,Variables dummy,What type of variable is created when the original Variable cannot be used?,A Dummy Variable is a variable that is created when the original Variable cannot be used.
377,Smart data,Smart data,Big data is what type of data?,There are two types of data: smart and big.
378,Árbol,Tree,"In this class, we will learn how to use what to solve some common problems?",In this class we are going to learn how to use a tree to solve some common problems.
379,Reglas de asociación,Rules of association,What is the new type of decision tree?,association rules are a new type of decision tree.
380,Grafo,Grafo,Graph theory is a branch of mathematics that deals with data structures called?,Graph theory is a branch of mathematics that deals with data structures.
381,Sugar code,Sugar code,"In this lesson, we will learn how to write code using what?","In this lesson, we are going to learn how to write code using sugar."
382,Ciencia de datos,Data science,What type of scientist is needed to extract useful information from large volumes of data?,There is a growing demand for data scientists who are able to extract useful information from large volumes of data.
383,Big data,Big data,Ahmed Rashid looks at what revolution?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution."
384,Máquina de Turing,Turing Machine,What is a device that uses a table of rules to manipulate symbols on a tape?,A Turing Machine is a device that uses a table of rules to manipulate symbols on a data tape.
385,Agente inteligente,Intelligent agent,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have"
386,Autoencoder,Autoencoder,What is a particular type of artificial neural network that is divided into two parts?,Autoencoders are a particular type of artificial neural network that are divided into two parts: the encoder and the decoder.
387,Árbol de decisión,Decision tree,What does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the hierarchy of the human mind."
388,Prolog,Prologue,In what program can you solve a factorial with two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in PROLOG.
389,Sugar code,Sugar code,What does Ahmedou Ould-Abdallah call the sugar code?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the most popular letters from the continent."
390,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists: failure to identify a pattern in data?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data."
391,Grafo,Grafo,Graph theory is a branch of mathematics that deals with the relationship between data and information?,Graph theory is a branch of mathematics that deals with the relationship between data and information.
392,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning whereby a decision is followed by a reinforcement (positive or negative)?,Reinforcement learning is a type of machine learning whereby a decision is followed by a reinforcement (positive or negative).
393,Modelo,Model,What do we show how to train to predict the outcome of a clinical trial?,"In this paper, we show how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial."
394,Autoencoder,Autoencoder,What is the name of the type of artificial neural network that is divided into two parts?,Autoencoders are a particular type of artificial neural network that are divided into two parts: the encoder and the decoder.
395,Algoritmo,Algorithm,What type of algorithm solves a problem?,Sequence of instructions to solve a problem.
396,Turing completo,Turing completo,What is the term for a system that has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine...
397,Test de Turing,Test the Turing,What test has DeepMind passed?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, the BBC reports."
398,Variables dummy,Variables dummy,What is the term for a variable that is created when the original variable cannot be used?,A Dummy Variable is a variable that is created when the originalvariable cannot be used.
399,Máquina de Turing,Turing Machine,What is a machine that uses a table of rules to manipulate symbols on a data tape?,A Turing Machine is a machine that uses a table of rules to manipulate symbols on a data tape.
400,Algoritmo,Algorithm,What is the name of the method used in step 2?,"Step 2: Put in a frying pan a little butter, a spoonful of flour and..."
401,Aprendizaje federado,Federated learning,"What is a technique called that allows to train an algorithm in a way, using its own data and other users' data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local) and other users' data."
402,Máquina de Turing,Turing Machine,What is a formal model of computation that is capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model).
403,Aprendizaje federado,Federated learning,What is a technique that allows to train an algorithm in a way using its own data?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), and only shares this model with other users."
404,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more Elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more other Elements."
405,Reglas de asociación,Rules of association,What is a new type of decision tree called?,association rules are a new type of decision tree.
406,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain technology.,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain technology.
407,Bot,Bot,What is a computer program that performs repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing, but automatically."
408,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more element."
409,Modelo,Model,What type of AI can predict the outcome of a clinical trial?,This paper describes how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial.
410,Modelos generativos,Generative models,What type of models are important in artificial intelligence research?,Generative models are an important part of artificial intelligence research.
411,Modelo,Model,What do we show how to train to predict the likelihood of a problem being solved?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a problem being solved."
412,Variables dummy,Variables dummy,What is a variable that is created when a categorical variable cannot be used?,A Dummy Variable is a variable that is created when a categorical variable cannot be used.
413,Modelo,Model,"In this paper, we show how to train an AI model that can predict the outcome of a clinical trial?","In this paper, we show how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial."
414,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern."
415,Variables dummy,Variables dummy,What is a variable called that is created when the original variable cannot be used?,A Dummy Variable is a variable that is created when the originalvariable cannot be used.
416,Grafo,Grafo,Graph theory is a branch of computer science that deals with data structures.,Graph theory is a branch of computer science that deals with data structures.
417,Xenobot,Xenobot,What is the name of the living robot created by scientists at the University of California?,"Scientists at the University of California, Los Angeles, have created a new type of living robot called a Xenobot."
418,Metaverso,Metaverse,Ahmedou Ould-Abdallah looks at the future of what technology?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverse technology."
419,Internet de las Cosas (IoT),Internet of Things (IoT),Ahmedou Ould-Abdallah looks at how what is changing the way we live?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live."
420,Agente inteligente,Intelligent agent,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have"
421,Aprendizaje automático,Automatic learning,What is a branch of AI that allows a computer to learn based on examples?,Machine learning is a branch within AI that allows a computer to learn based on examples.
422,Sugar code,Sugar code,What will you learn in this tutorial?,"In this tutorial, you will learn about sugar coding."
423,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have"
424,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all all have one thing in common - they all have one thing in common - they all"
425,Ciencia de datos,Data science,What is the branch of science that deals with the analysis of large volumes of data called?,Data Science is a branch of science that deals with the analysis of large volumes of data.
426,Agente inteligente,Intelligent agent,There are many different types of which type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common: they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one"
427,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in the data."
428,Reglas de asociación,Rules of association,What are the rules that govern the classification of objects in a data set?,Association rules are a set of rules that govern the classification of objects in a data set.
429,Autoencoder,Autoencoder,What is a type of artificial neural network that is used to learn encodings from unlabelled data?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabelled data.
430,Xenobot,Xenobot,"What is the name of the living robot created at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a  Xenobot."
431,Xenobot,Xenobot,"What is the name of the living robot created at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a Xenobot."
432,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures used in Blockchain technology?,Hash Trees and Merkle Trees are two types of data structures used in Blockchain technology.
433,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to their offering."
434,Computación Ecológica,Green Computing,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
435,Metaverso,Metaverse,What type of technology does Ahmedou Ould-Abdallah look at?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverse technology."
436,Test de Turing,Test the Turing,What test has DeepMind passed?,"An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time, the BBC reports."
437,Smart data,Smart data,Big data is what type of data?,There are two types of data: smart and big data.
438,Ciencia de datos,Data science,What type of scientist is there a growing demand for in the world?,There is a growing demand for data scientists across the world.
439,Metaverso,Metaverse,Farai Sevenzo looks at the future of what kind of world?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverses."
440,Bot,Bot,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behaviour that a person would have, doing the same thing but automatically."
441,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement.
442,Reglas de asociación,Rules of association,What are the rules that govern the classification of objects in data sets?,Association rules are a set of rules that govern the classification of objects in data sets.
443,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures that can be used in Blockchain technology.,Hash Trees and Merkle Trees are two types of data structures that can be used in Blockchain technology.
444,Metaverso,Metaverse,Farai Sevenzo looks at the future of what kind of universe?,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at the future of metaverses."
445,Xenobot,Xenobot,What is the name of the living robot created by scientists at the University of California?,"Scientists at the University of California, Los Angeles, have created a new type of living robot."
446,Variables dummy,Variables dummy,What is a variable that is created when the original variable cannot be used?,A Dummy Variable is a variable that is created when the originalvariable cannot be used.
447,Árbol,Tree,"In this class, we will learn how to use what to solve computer science problems?",In this class we are going to learn how to use a tree to solve some common problems in computer science.
448,Árbol,Tree,"In this course, we will learn how to use what to solve common problems?",In this course we are going to learn how to use a tree to solve some common problems.
449,Árbol de Merkle,Árbol de Merkle,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures used in Blockchain technology.
450,Prolog,Prologue,In what program will you solve a factorial?,In this tutorial I will show you how to solve a factorial in Prolog.
451,Test de Turing,Test the Turing,Ahmedou Ould-Abdallah looks at what test?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the Turing Test."
452,Internet de las Cosas (IoT),Internet of Things (IoT),Ahmedou Ould-Abdallah looks at how what is changing our lives?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing our lives."
453,Máquina de Turing,Turing Machine,What is a formal model of computation that is capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of doing this theoretical model).
454,Sugar code,Sugar code,"In this lesson, we will learn about what?","In this lesson, we are going to learn about sugar coding and how to use it."
455,Internet de las Cosas (IoT),Internet of Things (IoT),What technology is changing the way we live and work?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live and work."
456,Función Hash,Hash function,What transforms a set of data into a code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into a code of fixed length.
457,Árbol,Tree,"In this course, we will learn how to use what as a data structure?",In this course we are going to learn how to use a tree as a data structure.
458,Turing completo,Turing completo,What is a system called that has a computational power equal to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equal to the Universal Turing Machine.
459,Autoencoder,Autoencoder,What is the name of the type of artificial neural network that is divided into two parts?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder.
460,Sobreajuste,Overadjustment,What does Ahmed Rashid talk about in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in computer science."
461,Aprendizaje federado,Federated learning,What is a technique that allows to train an algorithm in a way?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares this model with other users."
462,Prolog,Prologue,In what program will I show you how to solve a factorial?,In this tutorial I will show you how to solve a factorial in Prolog.
463,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local) and other users' data."
464,Variables dummy,Variables dummy,What is a variable called that is created when the original variable cannot be used?,"A Dummy Variable is a variable that is created when the original variable cannot be used, such as a categorical variable."
465,Big data,Big data,What type of issues are facing Africa?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data issues facing Africa."
466,Máquina de Turing,Turing Machine,What is a machine that manipulates symbols on a tape called?,A Turing Machine is a machine that uses a table of rules to manipulate symbols on a data tape.
467,Máquina de Turing,Turing Machine,What is a machine that is capable of performing any computation called?,A Turing machine is a machine that is capable of performing any computation (that a computer is capable of performing this theoretical model).
468,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are part of what technology?,Hash Trees and Merkle Trees are part of the Blockchain technology.
469,Variables dummy,Variables dummy,What is a variable that is created when the original variables cannot be used?,A Dummy Variable is a variable that is created when the original variables cannot be used.
470,Grafo,Grafo,Which branch of mathematics deals with the structure of data?,Graph theory is a branch of mathematics that deals with the structure of data.
471,Realidad aumentada,Augmented reality,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world.
472,Tabla Hash,Hash Table,What is a data structure that relates a value called 'key' to one or more elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more elements."
473,Máquina de Turing,Turing Machine,What is a device called that uses a table of rules to manipulate symbols on a data tape?,A Turing machine is a device that uses a table of rules to manipulate symbols on a data tape.
474,Agente inteligente,Intelligent agent,What type of agent has a common thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have a"
475,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of life."
476,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative)?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement ( positive or negative).
477,Algoritmo,Algorithm,What is used for making croquettes?,Algorithm for making croquettes: Step 1: Chop the ham into small pieces.
478,Árbol,Tree,"In this lesson, we will learn how to use what to solve some common problems?",In this lesson we are going to learn how to use a tree to solve some common problems.
479,Subajuste,Subajuste,Ahmed Rashid looks at one of the most common problems faced by African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at one of the most common problems faced by African journalists:"
480,Variables dummy,Variables dummy,What is the term for a variable that is created when it cannot be used?,A Dummy Variable is a variable that is created when the original variable cannot be used.
481,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares it with other users."
482,Modelos generativos,Generative models,What is an important part of artificial intelligence and computer science?,Generative models are an important part of artificial intelligence and computer science.
483,Realidad aumentada,Augmented reality,What is the latest technology in the world of technology?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of technology.
484,Bot,Bot,What is a computer program that can perform repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing but automatically."
485,Smart data,Smart data,Big data is what type of data?,There are two main types of data: smart and big.
486,Metaverso,Metaverse,What does Farai Sevenzo look at?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverses."
487,Xenobot,Xenobot,"What is the name of the new type of robot created by scientists at the University of California, Berkeley?","Scientists at the University of California, Berkeley, have created a new type of living robot."
488,Agente inteligente,Intelligent agent,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all all have one thing in common - they all have one thing in common - they all"
489,Turing completo,Turing completo,What is a system called that has a computational power equivalent to the Universal Turing Machines?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machines.
490,Turing completo,Turing completo,What is a system that has a computational power equal to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equal to the Universal Turing Machine.
491,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the "" Green Computing - Research and Markets"" report to their offering."
492,Tabla Hash,Hash Table,What is a Data structure that relates a value called 'key' to one or more other elements?,"A Hash Table is a Data structure that relates a value called ""key"" to one or more other elements."
493,Reglas de asociación,Rules of association,What are the rules of association?,Association rules are a set of rules that govern the classification of data sets.
494,Ciencia de datos,Data science,What branch of science deals with the analysis of large volumes of data?,Data Science is a branch of science that deals with the analysis of large volumes of data.
495,Árbol,Tree,In this course we will learn how to use what as a data structure?,In this course we are going to learn how to use a tree as a data structure.
496,Reglas de asociación,Rules of association,What is a set of rules that govern the classification of objects in data sets?,Association rules are a set of rules that govern the classification of objects in data sets.
497,Test de Turing,Test the Turing,What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmedou Ould-Abdallah looks at the Turing Test."
498,Tabla Hash,Hash Table,What is a data structure that relates a value called 'key' to one or more other elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more other element."
499,Función Hash,Hash function,What is the mathematical function that transforms a set of data into a code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into a code of fixed length.
500,Test de Turing,Test the Turing,What test does Ahmedou Ould-Abdallah look at?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the Turing Test."
501,Computación Ecológica,Green Computing,What is the term for computing that makes responsible use of resources?,Green Computing refers to computing that makes responsible use of resources.
502,Aprendizaje federado,Federated learning,"What is a technique called that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local)."
503,Autoencoder,Autoencoder,What is a particular type of artificial neural network?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoding decoder.
504,Metadatos,Metadata,What type of data does a website contain?,
505,Realidad aumentada,Augmented reality,What is AR?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of entertainment.
506,Sugar code,Sugar code,"In this lesson, we are going to learn how to write code using what?","In this lesson, we are going to learn how to write code using sugar."
507,Reglas de asociación,Rules of association,What are rules of association?,Association rules are a set of rules that govern the classification of objects in a data set.
508,Tabla Hash,Hash Table,What is a data structure that relates a value called a key to one or more other elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more other element."
509,Modelos generativos,Generative models,What type of models are an important part of computer science and artificial intelligence?,Generative models are an important part of computer science and artificial intelligence.
510,Variables dummy,Variables dummy,What is a variable called that is created when a categorical variable cannot be used?,A Dummy Variable is a variable that is created when a categorical variable cannot be used.
511,Tabla Hash,Hash Table,What is a data structure that relates a value called 'key' to one or more other Elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more other Elements."
512,Función Hash,Hash function,What transforms a set of data into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
513,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry:,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry:"
514,Bot,Bot,What is a computer program capable of performing repetitive tasks?,A robot is a computer program capable of performing repetitive tasks.
515,Internet de las Cosas (IoT),Internet of Things (IoT),What technology is changing the way we live?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live."
516,Big data,Big data,What revolution is Ahmed Rashid looking at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our lives."
517,Árbol,Tree,"In this course, we will learn how to use what to solve some common problems in computer science?",In this course we are going to learn how to use a tree to solve some common problems in computer science.
518,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (negative or positive).
519,Variables dummy,Variables dummy,What is a variable called that is created when it cannot be used?,"A Dummy Variable is a variable that is created when the original variable cannot be used, such as a categorical variable."
520,Sobreajuste,Overadjustment,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in artificial intelligence."
521,Sugar code,Sugar code,What will you learn in this tutorial?,"In this tutorial, you will learn about sugar coding and how to use it in your programming."
522,Prolog,Prologue,What language will I show you how to solve a factorial with two Facts and a Rule in?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in the Prolog language.
523,Modelos generativos,Generative models,What is an important part of artificial intelligence research?,Generative models are an important part of artificial intelligence research.
524,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning where a decision made by an algorithm is followed by a reinforcement (positive or negative).
525,Reglas de asociación,Rules of association,What are rules of association?,Association rules are a set of rules that govern the classification of objects in data sets.
526,Función Hash,Hash function,What transforms a set of data into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into a alphanumeric code of fixed length.
527,Smart data,Smart data,"Along with big data, what type of data are there?",There are two main types of data: smart and big data.
528,Función Hash,Hash function,What is a mathematical function that transforms a set of data into anumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into anumeric code of fixed length.
529,Sobreajuste,Overadjustment,"What does Ahmed Rashid call the ""overfitting"" of artificial intelligence?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence."
530,Smart data,Smart data,Big data and what other type of data are there?,There are two types of data: big data and smart data.
531,Sugar code,Sugar code,What will we learn in this lesson?,"In this lesson, we are going to learn about sugar coding."
532,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data but only shares it with other users?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares it with other users."
533,Sobreajuste,Overadjustment,What does Ahmed Rashid say is important in artificial intelligence?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence (AI)."
534,Función Hash,Hash function,What is it called when a set of data is transformed into an alphabetic code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
535,Metadatos,Metadata,What type of data is stored in a database?,
536,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures that can be used in blockchain technology?,Hash Trees and Merkle Trees are two types of data structures that can be used in Blockchain technology.
537,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data."
538,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement.
539,Bot,Bot,What is a computer program that performs repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing but automatically."
540,Reglas de asociación,Rules of association,What is a set of rules that can be used to classify objects in a data set?,Association rules are a set of rules that can be used to classify objects in a data set.
541,Sobreajuste,Overadjustment,What does Ahmed Rashid think is important in computer science?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in computer science."
542,Blockchain,Blockchain,What is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information?,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries."
543,Árbol,Tree,In this lesson we will learn how to use what to solve common problems?,In this lesson we are going to learn how to use a tree to solve some common problems.
544,Metaverso,Metaverse,What does Ahmedou Ould-Abdallah look at?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the ideas behind metaverses."
545,Ciencia de datos,Data science,What type of scientist is able to extract useful information from large volumes of data?,There is a growing demand for data scientists who are able to extract useful information from large volumes of data.
546,Sobreajuste,Overadjustment,What does Ahmed Rashid discuss in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in computer science."
547,Autoencoder,Autoencoder,What is a type of artificial neural network called?,Autoencoders are a type of artificial neural network that is divided into two parts: the encoder and the decoder.
548,Modelo,Model,This paper describes how to train what?,This paper describes how to train an artificial intelligence model.
549,Agente inteligente,Intelligent agent,What are there many different types of?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have"
550,Turing completo,Turing completo,What is a system called that has a computational power equivalent to theUniversal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to theUniversal Turing Machine.
551,Máquina de Turing,Turing Machine,What is a device that uses a table of rules to manipulate symbols on a tape?,A Turing machine is a device that uses a table of rules to manipulate symbols on a data tape.
552,Modelos generativos,Generative models,What type of models have been used to train machine learning algorithms?,Generative models are an important part of artificial intelligence and have been used for many years to train machine learning algorithms.
553,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer hardware that is used to process data called?,A graphics processing unit (GPU) is a piece of computer hardware that is used to process data.
554,Grafo,Grafo,What is the name of the graph theory?,Graph theory is a theory of how data is organised.
555,Metaverso,Metaverse,Ahmedou Ould-Abdallah looks at the future of what type of universe?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverses."
556,Máquina de Turing,Turing Machine,What is a formal model of computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model) according to their complexity.
557,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in the field of artificial intelligence?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in the field of artificial intelligence."
558,Autoencoder,Autoencoder,What type of neural network is used to learn encodings from unlabeled data?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabeled data.
559,Metaverso,Metaverse,What type of technology does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverse technology."
